BPL_ID,BPL_tag,Name,Gender,Age,Pincode,address,District,state,past_enrolled_in_magic_bus,last_govt_data_updated_on,no_of_family_members,relation_to_head,is_head_of_family,current_age
BPL200000,yes,Pooja Patil,Female,23,700001,"H.No. 924, Ward 18",Kolkata,West Bengal,no,4/21/2021,4,Brother,no,28
BPL200001,yes,Lakshmi Das,Female,21,700001,"H.No. 323, Ward 19",Kolkata,West Bengal,yes,4/21/2021,3,Daughter,no,26
BPL200002,yes,Kavya Kumar,Female,23,700001,"H.No. 790, Ward 11",Kolkata,West Bengal,yes,4/21/2021,3,Brother,no,28
BPL200003,yes,Anil Kumar,Male,20,700001,"H.No. 82, Ward 4",Kolkata,West Bengal,yes,4/21/2021,3,Brother,no,25
BPL200004,yes,Manoj Singh,Male,21,700001,"H.No. 224, Ward 19",Kolkata,West Bengal,no,4/21/2021,4,Daughter,no,26
BPL200005,yes,Rohit Kumar,Male,21,700001,"H.No. 712, Ward 4",Kolkata,West Bengal,yes,4/21/2021,4,Son,no,26
BPL200006,yes,Rahul Kumar,Male,25,700001,"H.No. 857, Ward 2",Kolkata,West Bengal,yes,4/21/2021,3,Brother,no,30
BPL200007,yes,Meena Singh,Female,19,700001,"H.No. 542, Ward 13",Kolkata,West Bengal,yes,4/21/2021,4,Son,no,24
BPL200008,yes,Anita Reddy,Female,20,700001,"H.No. 62, Ward 21",Kolkata,West Bengal,no,4/21/2021,3,Sister,no,25
BPL200009,yes,Manoj Reddy,Male,23,700001,"H.No. 116, Ward 24",Kolkata,West Bengal,no,4/21/2021,4,Brother,no,28
BPL200010,yes,Asha Singh,Female,24,700001,"H.No. 556, Ward 23",Kolkata,West Bengal,yes,4/21/2021,3,Brother,no,29
BPL200011,yes,Divya Iyer,Female,21,700001,"H.No. 279, Ward 20",Kolkata,West Bengal,yes,4/21/2021,3,Son,no,26
BPL200012,yes,Deepak Das,Male,20,700001,"H.No. 399, Ward 23",Kolkata,West Bengal,no,4/21/2021,5,Sister,no,25
BPL200013,yes,Kavya Das,Female,21,700001,"H.No. 645, Ward 2",Kolkata,West Bengal,yes,4/21/2021,4,Daughter,no,26
BPL200014,yes,Divya Das,Female,24,700001,"H.No. 941, Ward 19",Kolkata,West Bengal,no,4/21/2021,4,Brother,no,29
BPL200015,yes,Deepak Naidu,Male,21,700001,"H.No. 90, Ward 19",Kolkata,West Bengal,no,4/21/2021,5,Daughter,no,26
BPL200016,yes,Divya Das,Female,22,700001,"H.No. 502, Ward 3",Kolkata,West Bengal,no,4/21/2021,5,Daughter,no,27
BPL200017,yes,Arjun Reddy,Male,21,700001,"H.No. 186, Ward 4",Kolkata,West Bengal,yes,4/21/2021,5,Sister,no,26
BPL200018,yes,Lakshmi Verma,Female,21,700001,"H.No. 706, Ward 23",Kolkata,West Bengal,yes,4/21/2021,5,Sister,no,26
BPL200019,yes,Meena Gowda,Female,18,700001,"H.No. 749, Ward 9",Kolkata,West Bengal,no,4/21/2021,4,Son,no,23
BPL200020,yes,Ritu Gowda,Female,19,700001,"H.No. 253, Ward 21",Kolkata,West Bengal,no,4/21/2021,6,Brother,no,24
BPL200021,yes,Sunita Gowda,Female,23,700001,"H.No. 10, Ward 17",Kolkata,West Bengal,yes,4/21/2021,3,Sister,no,28
BPL200022,yes,Vikas Verma,Male,19,700001,"H.No. 819, Ward 13",Kolkata,West Bengal,no,4/21/2021,4,Son,no,24
BPL200023,yes,Lakshmi Verma,Female,22,700001,"H.No. 868, Ward 24",Kolkata,West Bengal,yes,4/21/2021,4,Son,no,27
BPL200024,yes,Deepak Sharma,Male,19,700001,"H.No. 333, Ward 6",Kolkata,West Bengal,no,4/21/2021,6,Son,no,24
BPL200025,yes,Rahul Sharma,Male,22,700001,"H.No. 258, Ward 1",Kolkata,West Bengal,no,4/21/2021,3,Brother,no,27
BPL200026,yes,Anil Verma,Male,23,700001,"H.No. 29, Ward 21",Kolkata,West Bengal,no,4/21/2021,4,Brother,no,28
BPL200027,yes,Rohit Reddy,Male,25,700001,"H.No. 892, Ward 15",Kolkata,West Bengal,yes,4/21/2021,5,Sister,no,30
BPL200028,yes,Pooja Verma,Female,21,700001,"H.No. 430, Ward 6",Kolkata,West Bengal,no,4/21/2021,5,Daughter,no,26
BPL200029,yes,Prakash Singh,Male,23,700001,"H.No. 15, Ward 9",Kolkata,West Bengal,yes,4/21/2021,4,Sister,no,28
BPL200030,yes,Amit Verma,Male,22,700001,"H.No. 926, Ward 18",Kolkata,West Bengal,no,4/21/2021,3,Son,no,27
BPL200031,yes,Lakshmi Verma,Female,22,700001,"H.No. 477, Ward 12",Kolkata,West Bengal,yes,4/21/2021,4,Son,no,27
BPL200032,yes,Neha Iyer,Female,18,700001,"H.No. 776, Ward 7",Kolkata,West Bengal,yes,4/21/2021,4,Daughter,no,23
BPL200033,yes,Kavya Iyer,Female,24,700001,"H.No. 864, Ward 22",Kolkata,West Bengal,yes,4/21/2021,6,Sister,no,29
